Citations,Auteur,Source,Thèmes,Nombre d'avis,Notes
"“La solitude a deux facettes. Volontaire, elle élève et purifie. Obligatoire, elle étouffe et détruit.”",Francine Ouellette,Les ailes du destin,Solitude,,
"“La solitude n'apprend pas à être seul, mais le seul.”",Emil Michel Cioran,Le crépuscule des pensées,Solitude,,
“Que peut-on faire sur la femme dans la société ? Rien !. Dans la solitude ? Tout !. ”,Jules Michelet,La femme,Solitude,,
“L'indépendance vaut bien que l'on supporte la solitude.”,George Bernard Shaw,Mes inscriptions,Solitude,,
"“La solitude. Elle peut porter très haut, pourtant ce sera toujours un châtiment.”",Adolf Rudnicki,"Théâtre, théâtre !",Solitude,,
“Le violent est un blessé qui ne supporte pas la solitude de ses souffrances.”,Serge Bouchard,Quinze lieux communs,Solitude,,
“Comme ils sont fâcheux les gens qui ne supportent pas votre solitude.”,Yves Robert,Le Bal des casse-pieds,Solitude,,
“Le cynisme de l'extrême solitude est un calvaire qu'atténue l'insolence.”,Emil Michel Cioran,Syllogismes de l’amertume,Solitude,,
"“Nul ne peut veiller sur sa solitude, s'il ne sait se rendre odieux.”",Emil Michel Cioran,,Solitude,,
“Tant la solitude me comble que le moindre rendez-vous m'est une crucifixion.”,Emil Michel Cioran,Aveux et anathèmes,Solitude,,
"“L’oeuvre est achevée quand l’artiste est, devant elle, rendu à sa solitude complète.”",Christian Bobin,L’inespérée,Solitude,,
“Il n’est de pire solitude que celle qu’on éprouve quand on est deux.”,Marc Levy,Où es-tu ?,Solitude,,
"“La solitude rend impatient, c’est l’impatience qui tue l’enfance.”",Marc Levy,Où es-tu ?,Solitude,,
"“L'amour, c'est ce qui nie la solitude.”",Artus de Penguern,Ciné Live - Novembre 2001,Solitude,,
“La solitude est absolument essentielle à l’équilibre d’une personne.”,Nikki Gemmell,Evene.fr - Janvier 2007,Solitude,,
“La solitude est la souffrance multipliée par l'infini. ”,Honoré de Balzac,Splendeurs et misères des courtisanes,Solitude,,
“Personne ne peut être heureux dans une solitude éternelle. ”,Anne Brontë,La Dame du manoir de Wildfell Hall,Solitude,,
“Mes vices ne sont que les fruits d'une solitude forcée.”,Mary Shelley,Frankenstein ou le Prométhée moderne,Solitude,,
"“Être avec quelqu’un, c’est s’accompagner dans la solitude.”",Laetitia Casta,26 février 2015,Solitude,,
"“L'absence c'est Dieu. Dieu, c'est la solitude des hommes.”",Jean-Paul Sartre,Le diable et le bon dieu,Solitude,,
“Les parties de plaisir s'achèvent dans la solitude mélancolique des examens intimes.”,Patrick Wald Lasowski,Syphilis : essai sur la littérature française du XIXème siècle,Solitude,,
“L’élégance est de se comporter dans la solitude comme en société.”,Sylvain Tesson,Petit traité sur l’immensité du monde,Solitude,,
"“On ne trouve pas la solitude, on la fait.”",Marguerite Duras,Ecrire,Solitude,,
"“On est plus heureux dans la solitude que dans le monde. Cela ne viendrait-il pas de ce que dans la solitude on pense aux choses, et que dans le monde on est forcé de penser aux hommes ?”",Chamfort,,Solitude,,
"“Une seule chose est nécessaire : la solitude. La grande solitude intérieure. Aller en soi-même et ne rencontrer pendant des heures personne, c'est à cela qu'il faut parvenir. Etre seul, comme l'enfant est seul...”",Rainer Maria Rilke,Lettres à un jeune poète,Solitude,,
“La solitude est très belle... quand on a près de soi quelqu'un à qui le dire.”,Gustavo Adolfo Bécquer,Lettres littéraires à une femme,Solitude,,
"“Ce qui rend les hommes sociables est leur incapacité à supporter la solitude et donc, eux-mêmes.”",Arthur Schopenhauer,,Solitude,,
“On ne vit pas dans la solitude lorsqu’on est seul avec la personne qu’on aime.”,Wayne W. Dyer,,Solitude,,
“Pas un homme n'est en proie à la solitude pendant qu'il mange des spaghettis.”,Frank Morley,,Solitude,,
"“Plus on approche de Dieu, plus on est seul. C'est l'infini de la solitude.”",Léon Bloy,,Solitude,,
“L'ermite croit qu'il a trouvé Dieu parce qu'il a trouvé la solitude.”,Henry de Montherlant,,Solitude,,
"“Le palais conduit à la gloire, le marché à la fortune et la solitude à la sagesse.”",Proverbe chinois,,Solitude,,
"“Une personne mortellement ennuyeuse, c'est une personne qui vous prive de solitude sans vous procurer de compagnie.”",De Anonyme                    ,,Solitude,,
“C'est dans les villes les plus peuplées que l'on peut trouver la plus grande solitude.”,Jean Racine,,Solitude,,
“Ecrire est une vue de l'esprit. C'est un travail ingrat qui mène à la solitude.”,Blaise Cendrars,L'homme foudroyé,Solitude,,
"“La solitude est l'aphrodisiaque de l'esprit, comme la conversation celui de l'intelligence.”",Emil Michel Cioran,Le crépuscule des pensées,Solitude,,
“Un écrivain est essentiellement un homme qui ne se résigne pas à la solitude. Chacun de nous est un désert.”,François Mauriac,Dieu et Mammon,Solitude,,
"“Une des malédictions de la solitude, c'est qu'elle vous contraint à penser excessivement à vous-même.”",Jean Prieur,Les témoins de l'invisible,Solitude,,
“Tirons notre courage de notre désespoir même.”,Sénèque,Questions naturelles,Courage,72,4
“Fuir : prendre son courage à deux pieds.”,Alexandre Breffort,,Courage,,
“La vertu est le courage du bien.”,René Le Senne,Traité de morale,Courage,,
“La faiblesse est le courage des autres.”,André Brochu,Adéodat I,Courage,5,3
“Le courage n’a pas d’âge.”,Michel Bouthot,Chemins parsemés d’immortelles pensées - 2,Courage,,
"“Les sentiments produisent le courage actif, et la philosophie le courage passif.”",Marie-Jean Hérault de Séchelles,,Courage,,
"“Il y a courage et courage, celui du tigre et celui du cheval.”",Ralph Waldo Emerson,,Courage,,
"“Avoir trop peu de courage, c'est avoir perdu tout courage.”",Pieter Cornélis Hooft,Histoires néerlandaises,Courage,,
“Nous vivons dans une époque qui place le courage moral au dessus du courage physique.”,Simon Vestdijk,Artiste et psychologie de guerre,Courage,,
“Le courage n'est rien sans la réflexion.”,Euripide,Fragments,Courage,,
“Le courage ne se vend pas à l’auberge.”,Proverbe corse,,Courage,,
“Le vrai courage ne se laisse jamais abattre.”,Fénelon,Télémaque,Courage,,
"“Le vrai courage, c'est la prudence.”",Euripide,Les suppliantes,Courage,,
“La surprise est l'épreuve du vrai courage.”,Aristote,Ethique à Nicomaque,Courage,,
“Le courage est la lumière de l'adversité.”,Vauvenargues,Réflexions et maximes,Courage,,
“Le courage est le prix de la dignité.”,Pierre Billon,Le livre de Seul,Courage,,
“Beaucoup seraient lâches s'ils en avaient le courage.”,Thomas Fuller,,Courage,,
"“Le courage, c'est de ne pas avoir peur.”",Jacques Chirac,,Courage,,
“C'est au courage que va la fortune.”,Quintus Ennius,Annales,Courage,,
“Beaucoup d'insensibilité prend parfois figure de courage.”,Pierre Reverdy,,Courage,,
“La clarté est la forme la plus difficile du courage.”,François Mitterrand,,Courage,,
“La gaieté est la forme la plus aimable du courage.”,Anatole France,,Courage,,
“Seul le courage est dieu dans le coeur des guerriers.”,Silius Italicus,,Courage,,
"“Quand le lion saigne, les chacals reprennent courage.”",Proverbe arabe,,Courage,,
“Faute d'adversaire le courage s'étiole.”,Sénèque,De la providence,Courage,,
“Le courage croît en osant et la peur en hésitant.”,Proverbe romain,,Courage,,
“Le courage est l’effet d’une très grande peur.”,Ferdinando Galiani,Dialogues,Courage,,
“Il faut du courage pour avoir du talent.”,Georg Brandes,"H. C. Andersen, auteur de contes",Courage,,
“Le courage est la peur qui fait ses prières.”,Paulo Coelho,La cinquième montagne,Courage,,
"“Les vrais passions donnent des forces, en donnant du courage.”",Voltaire,Correspondance,Courage,,
“La patience est le courage de la vertu.”,Bernardin de Saint-Pierre,Paul et Virginie,"Courage, Patience",,
“Le courage du soldat dépend de la prudence du général.”,Publius Syrus,Sentences,Courage,,
“Il n'y a pas de courage triste.”,Marcel Jouhandeau,Journal sous l'occupation,Courage,,
“Le véritable respect connaît le courage du risque.”,Thérèse Tardif,Désespoir de vieille fille,Courage,,
“Le courage donne ce que refuse la beauté.”,Bertrand du Guesclin ,,"Courage, Beaute",7,4
“Chacun imite un courage qui n’a jamais existé.”,Alain,Minerve ou de la sagesse,Courage,,
“Vous voulez du courage ? Ayez déjà de la volonté.”,Quentin Beau de Loménie,,Courage,,
"“Le courage fait les vainqueurs ;. La concorde, les invincibles.”",Claude Delavigne,Troisième messénienne,Courage,,
“Danemark : Ce petit pays de cottage cheese et de courage.”,Bette Midler,A view from abroad,Courage,,
"“Contre la peur, un seul remède : le courage.”",Louis Pauwels,L'apprentissage de la sérénité,Courage,,
“Une imprudence qui réussit compromet l'intelligence du courage.”,Robert Mallet,Apostilles ou l'utile et le futile,Courage,,
"“L'ironie, c'est le courage des trouillards !”",Catherine Rihoit ,Entretien avec Bernard Pivot - Avril 1980,Courage,,
“On voudrait avoir ce courage des oiseaux en hiver.”,Françoise Lefèvre,Consigne des minutes heureuses,Courage,,
“Courage... la mort fait moins mal qu’on le croit.”,Hugo Pratt,Hugo Pratt en verve,Courage,,
“Le vrai courage est parfois celui de choisir.”,Anonyme,,"Courage, Anonyme",,
“Le faux courage attend les grandes occasions... Le courage véritable consiste chaque jour à vaincre les petits ennemis.”,Paul Nizan,,Courage,,
“Il est curieux que le courage physique soit si répandu en ce monde et le courage moral si rare.”,Mark Twain,,Courage,,
"“Le courage de vivre offre souvent un spectacle moins extraordinaire que le courage du dernier instant. Pourtant, quel magnifique mélange de triomphes et de tragédies.”",John Fitzgerald Kennedy,Portraits d'hommes courageux,Courage,,
“La peur est ce qui gronde dans le courage ; la peur est ce qui pousse le courage au delà du but.”,Alain,Les idées et les âges,Courage,,
"“La première qualité d’un créateur, c’est le courage. Le courage d’affronter le scepticisme, le conformisme et, finalement, la jalousie.”",Claude Allègre,L’Express - 28 Février 2002,"Courage, Jalousie",9,4
"“Comme nous ne sommes pas sûrs de notre courage, nous ne voulons pas avoir l'air de douter du courage d'autrui.”",Jules Renard,Journal 1893 - 1898,Courage,,
“Le véritable courage consiste à être courageux précisément quand on ne l'est pas.”,Jules Renard,,Courage,,
“Le courageux a du courage et le brave aime à le montrer. ”,Joseph Joubert,Carnet,Courage,,
“Qui n’a pas de courage n’a pas de religion.”,Hazrat Ali,,Courage,,
“Le courage est la première des qualités humaines car elle garantit toutes les autres.”,Aristote,,Courage,,
"“Quand la prudence est partout, le courage n'est nulle part.”",Cardinal Mercier,,Courage,,
"“Le courage, c'est de traverser tout nu un village de cannibales.”",Louis-Léonard Levinson,,Courage,,
“Le courage est le prix que la vie exige pour accorder la paix.”,Amélia Earhart,,Courage,,
"“Il n'est point de bonheur sans liberté, ni de liberté sans courage.”",Périclès ,,Courage,66,4
“Il n'appartient qu'au courage de régler la vie.”,Vauvenargues,,Courage,,
“On ne peut répondre de son courage quand on n’a jamais été dans le péril.”,François de La Rochefoucauld,Maximes,Courage,,
"“Le courage consiste à dominer sa peur, non pas à ne pas avoir peur.”",François Mitterrand,Mémoire à deux voix,Courage,,
“La valeur d’un général réside dans sa stratégie et non dans son courage.”,Proverbe chinois,,Courage,,
“Le seul courage est de parler à la première personne.”,Arthur Adamov,L’Aveu,Courage,,
"“Quand tout est fichu, il y a encore le courage.”",Daniel Pennac,Cabot-Caboche,Courage,,
"“Quel courage il faut, à certains moments, pour choisir la vie !”",Henrik Ibsen,Maison de poupée,Courage,,
"“L'épreuve du courage n'est pas de mourir, mais de vivre.”",Vittorio Alfieri,,Courage,,
“Il faut plus de courage pour changer son point de vue que lui rester fidèle.”,Friedrich Hebbel,,Courage,,
“L'agréable perspective du veuvage soutient le courage de beaucoup d'épouses.”,John Gay,,Courage,,
"“Le vrai courage, c'est celui de trois heures du matin.”",Napoléon Bonaparte ,,Courage,25,4
"“Le courage nourrit les guerres, mais c'est la peur qui les fait naître.”",Alain,Propos,Courage,,
"“La bravoure procède du sang, le courage vient de la pensée.”",Napoléon Bonaparte,,Courage,,
“Il est plus facile de se servir d'un fusil que de montrer du courage.”,H.M. Tomlinson,,Courage,,
"“L'animal même sauvage, quand on le tient enfermé, oublie son courage.”",Tacite,Histoires,Courage,,
“La résignation est au courage ce que le fer est à l'acier.”,Duc de Lévis,Maximes et réflexions,Courage,,
“Mieux vaut se fier à son courage qu'à la fortune.”,Publius Syrus,Sentences,Courage,,
“Les hommes ont toujours eu beaucoup de courage pour supporter les malheurs des femmes.”,Françoise Giroud,,Courage,,
“Il ne faut point que le courage de celui qui commande aux autres puisse être douteux.”,Fénelon,,Courage,,
“Le succès donne du talent et l'autorité du courage.”,Frédéric Dard,,Courage,,
"“Le courage, c'est de chercher la vérité et de la dire.”",Jean Jaurès,,Courage,,
“Il faut beaucoup de courage pour montrer ses rêves à quelqu’un d’autre.”,Erma Bombeck,,Courage,,
“Il faut du courage pour apprécier la dureté et la douceur.”,Björk,Big Time Sensuality,Courage,,
"“La sagesse est le produit de la souffrance, la vertu reflète le courage.”",Pierre Ballois,Les Escoumins,"Courage, Sagesse",,
“Les paresseux ont au moins une qualité : ils ont le courage de ne rien faire.”,Sim,,Courage,,
“Les livres ont plus de courage que les courtisans pour dire la vérité aux rois.”,Démétrios,,Courage,,
“Les hommes ont souvent moins de courage pour affronter les petits ennuis que les grandes catastrophes.”,Esope,,Courage,,
“Le chemin le plus court vers le courage est l'ignorance absolue.”,Dan Simmons,"Endymion, 1995",Courage,,
“Le courage et la joie sont deux facteurs vitaux.”,Anne Frank,Journal,Courage,,
"“La paresse s’entretient par le repos, le courage s’entretient par la fatigue.”",Proverbe chinois,,Courage,,
“Le but d’un chef doit être moins de montrer du courage que d’en inspirer.”,Paul-Louis Courier,Lettre,Courage,,
"“N’écoutant que son courage qui ne lui disait rien, il se garda d’intervenir.”",Jules Renard,Journal,Courage,18,4
"“Le courage consiste à choisir le moindre mal, si affreux qu’il soit encore.”",Stendhal,La Chartreuse de Parme,Courage,,
“J’ai connu des hommes de grand courage qui avaient peur de leur femme.”,Jonathan Swift,Pensées sur divers sujets moraux et divertissants,Courage,,
“Le manque de courage n'est qu'un manque de bon sens.”,Georges Meredith,L'épreuve de Richard Feverel,Courage,,
“La crainte est quelque chose de plus profond que le courage.”,Gertrude von Le Fort,La dernière à l'échafaud,Courage,,
“Rien ne communique plus de courage au peureux que la peur d'autrui.”,Umberto Eco,Le nom de la rose,Courage,,
"“Faire confiance est une preuve de courage, être fidèle est un signe de force.”",Marie von Ebner-Eschenbach,Aphorismes,Courage,17,4
“Il y a plus de courage que de talent dans la plupart des réussites.”,Félix Leclerc,,"Courage, Reussite",,
"“Quand le courage empiète sur la raison, il ronge le glaive avec lequel il combat.”",William Shakespeare,Antoine et Cléopâtre,Courage,,
